Time(ms),MotorCurrent,Position,Velocity,Acceleration
17722,264.00,31,2182.67,5587878.50
17734,93.00,10,-1762.04,-330987.88
17746,174.00,3,-587.05,98539.86
17758,41.00,1,-168.42,35253.08
17770,165.00,0,-84.76,7091.11
17782,153.00,0,0.00,7186.72
17793,144.00,2,169.25,14322.39
17808,69.00,2,0.00,-11204.75
17820,210.00,0,-168.19,-14144.68
17832,1.00,3,252.14,35328.43
17844,70.00,3,0.00,-21195.63
17856,297.00,17,1182.23,99833.87
17868,69.00,41,2018.16,70293.54
17880,112.00,65,2019.01,71.41
17892,212.00,89,2022.42,286.74
17904,184.00,112,1938.47,-7074.64
17915,135.00,136,2018.16,6701.06
17927,90.00,159,1937.49,-6795.45
17939,258.00,181,1852.94,-7121.29
17951,3.00,202,1767.53,-7189.27
17963,14.00,222,1684.07,-7027.56
17975,339.00,243,1769.61,7208.60
17987,62.00,265,1854.51,7156.06
18002,104.00,293,1858.00,231.61
18014,84.00,316,1934.40,6425.79
18026,162.00,342,2184.32,20996.78
18037,217.00,366,2019.18,-13893.74
18049,158.00,392,2182.12,13675.30
18061,34.00,419,2269.48,7342.72
18075,1.00,52,-25971.27,-1998496.11
18088,88.00,161,8770.52,2795444.72
18100,164.00,192,2595.66,-517027.17
18112,37.00,218,2170.28,-35507.42
18124,249.00,243,2099.08,-5978.79
18136,19.00,272,2437.38,28434.02
18147,145.00,303,2602.64,13873.88
18159,89.00,331,2347.42,-21396.58
18174,7.00,362,2053.80,-19452.87
18186,224.00,387,2098.55,3756.53
18198,2.00,413,2184.69,7238.26
18210,122.00,438,2102.08,-6946.40
18222,229.00,462,2018.16,-7056.29
18234,171.00,492,2509.83,41133.33
18246,209.00,515,1924.69,-48966.02
18258,94.00,545,2513.19,49301.17
18270,268.00,571,2181.94,-27799.10
18282,102.00,7,-47390.98,-4165441.21
18294,189.00,12,417.78,3994715.60
18306,49.00,40,2349.58,162104.88
18318,255.00,69,2428.40,6600.18
18329,65.00,100,2601.33,14510.52
18341,167.00,129,2433.70,-14067.07
18356,147.00,163,2273.49,-10713.17
18368,259.00,189,2210.88,-5323.37
18380,2.00,3,-15793.50,-1528774.74
18392,91.00,2,-84.62,1329233.30
18403,240.00,2,0.00,7163.01
18415,202.00,4,170.10,14466.49
18427,40.00,14,850.05,57799.56
18441,113.00,20,432.06,-30099.54
18453,256.00,10,-850.48,-109078.38
18464,204.00,0,-850.63,-12.31
18476,107.00,0,0.00,72722.02
18488,2.00,0,0.00,0.00
18499,11.00,15,1288.55,110690.58
18511,193.00,42,2295.72,85636.77
18523,158.00,24,-1531.65,-325678.81
18535,148.00,1,-1945.36,-34991.67
18549,208.00,1,0.00,132157.66
18561,153.00,9,680.97,57964.50
18573,188.00,4,-425.60,-94192.32
18585,111.00,18,1188.05,136936.18
18597,84.00,5,-1105.35,-195000.41
18608,279.00,27,1870.11,252929.31
18620,157.00,7,-1700.82,-303676.94
18632,47.00,32,2118.82,323726.46
18644,215.00,55,1956.95,-13773.20
18655,94.00,75,1701.26,-21749.59
18667,340.00,96,1786.02,7208.63
18679,28.00,116,1702.27,-7127.88
18691,50.00,136,1702.13,-12.33
18702,262.00,157,1785.11,7053.68
18714,110.00,178,1787.54,206.95
18729,91.00,207,1939.93,10194.05
18741,178.00,234,2272.73,28013.31
18753,236.00,257,1932.12,-28612.54
18765,176.00,282,2097.32,13858.37
18777,54.00,311,2433.50,28210.37
18789,213.00,32,-23279.10,-2145398.18
18801,287.00,143,9070.85,2643617.68
18815,152.00,200,4012.95,-356089.59
18827,77.00,220,1680.25,-195976.26
18839,209.00,247,2264.91,49044.71
18851,2.00,276,2431.05,13927.38
18863,124.00,6,-22601.71,-2095492.89
18875,126.00,31,2095.73,2070369.75
18887,169.00,55,2017.32,-6591.39
18902,218.00,90,2315.43,19721.62
18914,0.00,115,2102.25,-17925.81
18926,95.00,141,2186.71,7103.27
18937,269.00,162,1767.23,-35300.94
18949,106.00,185,1930.66,13718.92
18961,185.00,212,2260.55,27619.33
18973,14.00,238,2183.22,-6493.11
18985,244.00,1,-19844.26,-1844384.41
18997,61.00,0,-83.68,1653467.09
19009,166.00,2,167.76,21089.76
19021,59.00,19,1428.45,105931.80
19033,214.00,47,2347.02,76996.89
19045,2.00,76,2435.54,7434.10
19057,117.00,106,2516.57,6796.85
19069,186.00,134,2351.56,-13858.19
19084,81.00,170,2382.69,2060.22
19096,190.00,198,2356.31,-2219.85
19107,204.00,227,2437.79,6849.94
19119,75.00,16,-17710.26,-1691123.98
19131,278.00,4,-1003.93,1397667.93
19143,122.00,0,-335.94,56101.05
19155,183.00,27,2266.24,218413.48
19167,21.00,54,2271.20,416.93
19181,166.00,9,-3208.78,-390757.47
19193,48.00,11,168.14,283894.31
19205,234.00,4,-589.82,-63865.79
19217,183.00,0,-338.70,21263.79
19228,65.00,0,0.00,28647.21
19240,191.00,14,1185.74,100426.63
19252,175.00,3,-922.82,-176892.29
