Time (ms), Position (count), Velocity (count/s), Acceleration (count/s2), Desired Vel, Desired Acc, control signal, motorCurrent (raw)
58251, 1795, 1750.00, 27777.77, 2048, 0, 596, 66.00
58254, 1804, 1916.67, 41666.67, 2048, 0, 262, 38.00
58257, 1812, 2083.33, 41666.68, 2048, 0, -70, 77.00
58260, 1820, 2083.33, 48611.12, 2048, 0, -70, 266.00
58263, 1824, 2083.33, 27777.79, 2048, 0, -70, 282.00
58266, 1826, 1666.67, 13888.90, 2048, 0, 762, 199.00
58269, 1827, 1166.67, -34722.23, 2048, 0, 1762, 219.00
58272, 1829, 583.33, -76388.91, 2048, 0, 2929, 143.00
58275, 1832, 416.67, -125000.02, 2048, 0, 3262, 168.00
58278, 1835, 500.00, -104166.66, 2048, 0, 3096, 121.00
58281, 1839, 666.67, -55555.55, 2048, 0, 2762, 101.00
58284, 1844, 833.33, 6944.45, 2048, 0, 2429, 109.00
58287, 1849, 1000.00, 34722.23, 2048, 0, 2096, 56.00
58290, 1854, 1166.67, 41666.67, 2048, 0, 1762, 114.00
58293, 1860, 1250.00, 41666.66, 2048, 0, 1596, 55.00
58296, 1867, 1333.33, 34722.22, 2048, 0, 1429, 120.00
58299, 1875, 1500.00, 27777.77, 2048, 0, 1096, 55.00
58302, 1883, 1750.00, 27777.78, 2048, 0, 596, 102.00
58305, 1891, 1916.67, 41666.66, 2048, 0, 262, 58.00
58308, 1900, 2000.00, 48611.12, 2048, 0, 96, 57.00
58311, 1908, 2083.33, 41666.67, 2048, 0, -70, 139.00
58314, 1915, 2083.33, 27777.79, 2048, 0, -70, 278.00
58317, 3536, 2000.00, 13888.90, 2048, 0, 96, 284.00
58320, 1922, 136333.33, 0.00, 2048, 0, -268570, 170.00
58323, 1925, 1166.66, 11187500.00, 2048, 0, 1762, 0.00
58326, 1927, 833.33, -76389.00, 2048, 0, 2429, 212.00
58329, 1930, -134083.33, -97222.34, 2048, 0, 272262, 222.00
58332, 1933, 666.67, -22534720.00, 2048, 0, 2762, 170.00
58335, 1939, 666.67, -41665.00, 2048, 0, 2762, 145.00
58338, 1946, 1000.00, -13888.00, 2048, 0, 2096, 156.00
58341, 1954, 1333.33, 11256945.00, 2048, 0, 1429, 65.00
58344, 1963, 1750.00, 55555.55, 2048, 0, 596, 155.00
58347, 1974, 2000.00, 90277.78, 2048, 0, 96, 72.00
58350, 1985, 2333.33, 83333.34, 2048, 0, -570, 0.00
58353, 1994, 2583.33, 83333.35, 2048, 0, -1070, 363.00
58356, 1998, 2583.33, 69444.46, 2048, 0, -1070, 363.00
58359, 2001, 2000.00, 48611.12, 2048, 0, 95, 284.00
58362, 2002, 1333.33, -27777.78, 2048, 0, 1429, 250.00
58365, 2004, 666.67, -104166.67, 2048, 0, 2762, 221.00
58368, 2007, 500.00, -159722.23, 2048, 0, 3096, 154.00
58374, 2017, 500.00, -125000.02, 2048, 0, 3096, 113.00
58377, 2023, 833.33, -69444.45, 2048, 0, 2429, 181.00
58380, 2033, 1166.67, 13888.89, 2048, 0, 1762, 96.00
58383, 2042, 1750.00, 55555.55, 2048, 0, 596, 153.00
58386, 2053, 2083.33, 104166.67, 2048, 0, -70, 91.00
58389, 2063, 2500.00, 104166.66, 2048, 0, -904, 339.00
58392, 2069, 2500.00, 111111.11, 2048, 0, -904, 273.00
58395, 2072, 2250.00, 62500.00, 2048, 0, -404, 213.00
